approved,age,income,loan_amount,credit_score,employment_years,debt_to_income,area_type,education,self_employed,property_value
0,53,58678,550241,308,26,0.66,suburban,high_school,1,879956
0,38,84387,508339,493,12,0.18,rural,postgraduate,0,909674
0,44,49196,335071,545,16,0.64,rural,high_school,1,525844
0,37,44306,527461,596,16,0.27,rural,graduate,0,1179117
0,21,23656,332271,404,0,0.4,urban,high_school,0,415364
0,20,19010,490656,522,0,0.69,rural,high_school,0,796409
0,22,27565,542984,701,1,0.77,rural,graduate,0,740199
0,36,84108,514478,554,10,0.85,rural,graduate,0,768797
1,26,57829,216316,619,1,0.08,suburban,postgraduate,0,488512
0,55,103620,427934,605,32,0.74,suburban,postgraduate,0,1187533
1,60,61476,175461,582,31,0.24,rural,graduate,1,314358
0,22,75587,310804,680,1,0.12,urban,postgraduate,1,408830
1,60,74347,181939,849,39,0.3,suburban,high_school,0,359454
0,55,126364,425565,321,29,0.25,suburban,postgraduate,1,1042122
0,55,85139,541147,656,30,0.72,rural,graduate,1,839129
0,55,52358,434945,602,31,0.67,urban,high_school,0,829943
0,21,52864,456313,364,0,0.6,urban,postgraduate,1,629592
1,55,57160,150932,629,34,0.1,suburban,high_school,1,308867
0,22,25182,457475,332,0,0.47,suburban,high_school,0,1059440
0,57,62917,268877,372,37,0.79,suburban,graduate,0,621508
1,60,95946,111132,725,35,0.26,urban,high_school,1,294198
0,22,37139,151836,521,0,0.23,suburban,postgraduate,0,182575
1,35,111779,425351,725,14,0.61,urban,postgraduate,0,999143
1,47,57595,215860,816,22,0.53,rural,high_school,0,446355
1,55,98771,302415,740,30,0.22,suburban,graduate,1,643021
1,55,146988,50205,758,29,0.84,suburban,postgraduate,1,123134
0,39,36652,339362,622,19,0.46,rural,high_school,1,963185
1,56,64448,195131,664,34,0.76,rural,postgraduate,0,298545
0,39,79062,555972,379,14,0.71,urban,high_school,1,748229
1,56,75211,108639,690,35,0.32,rural,high_school,1,308941
1,27,57081,369588,691,7,0.31,urban,high_school,0,757199
0,56,88120,461967,456,36,0.65,urban,high_school,1,1359144
0,47,49163,101706,384,20,0.26,rural,graduate,1,213206
0,45,74631,257731,438,18,0.57,urban,postgraduate,1,509204
1,53,48194,143946,740,28,0.38,rural,high_school,0,176342
0,43,58444,227477,324,19,0.54,suburban,graduate,0,676813
1,29,38720,139982,682,7,0.09,rural,graduate,0,171442
0,59,56536,521923,413,35,0.32,rural,high_school,1,1013773
0,54,122850,69281,444,24,0.77,urban,postgraduate,1,121464
0,53,37545,334459,505,24,0.57,rural,high_school,1,369968
0,37,46793,449194,695,14,0.62,rural,postgraduate,1,906060
1,40,47596,72532,768,12,0.79,rural,graduate,0,78298
1,30,42902,575600,609,7,0.1,urban,high_school,1,893191
0,36,99362,408388,530,14,0.58,urban,graduate,0,1141179
0,59,86318,377557,456,33,0.31,suburban,postgraduate,0,1064510
0,54,50614,374008,507,32,0.77,urban,high_school,0,889041
1,29,42927,243079,845,8,0.75,suburban,postgraduate,0,397481
0,21,36090,247062,580,0,0.2,suburban,graduate,1,299820
0,37,73602,133336,326,12,0.43,urban,postgraduate,0,316844
0,52,136780,565318,488,26,0.18,urban,postgraduate,1,1101066
0,20,51105,119348,507,0,0.81,rural,graduate,1,161615
1,48,97215,498324,768,25,0.08,urban,postgraduate,1,901833
1,40,51205,307657,767,20,0.37,urban,graduate,0,626822
0,22,85699,355323,350,0,0.76,urban,postgraduate,1,667690
1,30,86826,536097,829,8,0.41,urban,graduate,1,1425903
0,52,98080,483648,438,26,0.07,urban,high_school,0,796530
0,32,47062,145620,467,11,0.41,suburban,graduate,0,178869
1,43,77772,217666,823,14,0.35,urban,high_school,1,382516
0,56,140487,489963,483,36,0.63,rural,postgraduate,0,791841
0,48,97791,315406,507,28,0.45,rural,graduate,0,323106
1,58,90194,480074,787,31,0.53,rural,graduate,0,904339
0,20,43366,243818,512,0,0.57,urban,high_school,1,316113
1,56,145205,487211,350,35,0.18,suburban,postgraduate,1,1455528
1,38,98358,147649,668,18,0.31,suburban,postgraduate,0,374589
0,47,91542,395200,424,23,0.47,suburban,postgraduate,0,811782
1,33,78419,557157,841,12,0.53,rural,postgraduate,0,1364002
0,47,95934,570509,662,25,0.56,suburban,postgraduate,1,1163502
0,51,57681,173949,498,31,0.55,urban,high_school,0,182293
1,59,72807,260960,517,39,0.25,rural,graduate,1,621093
0,24,58420,399472,306,3,0.63,urban,graduate,1,672200
1,31,56916,87285,790,4,0.44,suburban,high_school,1,199996
0,60,106927,596384,723,40,0.63,suburban,graduate,1,953431
0,33,46422,82687,452,9,0.35,suburban,postgraduate,1,138773
1,54,66096,83164,615,29,0.12,rural,high_school,1,128321
0,39,32386,147102,338,16,0.07,rural,high_school,1,277662
1,50,84720,375434,795,22,0.16,rural,postgraduate,0,957757
1,53,122181,597718,770,27,0.3,rural,postgraduate,0,736192
0,22,56538,595865,347,1,0.65,suburban,postgraduate,0,1508944
0,60,48717,384652,583,32,0.59,rural,high_school,1,979160
1,37,31354,266612,826,16,0.49,suburban,high_school,0,555901
1,38,51256,515198,646,10,0.07,rural,postgraduate,0,567466
0,23,22628,517493,701,1,0.3,rural,high_school,1,1155370
0,54,50188,527714,779,33,0.57,urban,high_school,1,855310
0,49,51389,461122,564,24,0.78,rural,graduate,0,630218
0,40,40254,551903,415,15,0.19,rural,graduate,1,1061024
0,42,68670,124369,409,17,0.48,urban,postgraduate,0,321476
0,59,58806,502091,648,36,0.4,suburban,high_school,0,1289684
0,41,97215,560268,379,12,0.53,rural,postgraduate,0,688370
0,48,35385,447316,411,18,0.57,suburban,high_school,1,740225
0,23,46711,206464,300,1,0.28,rural,high_school,0,393509
0,33,78350,410987,611,7,0.52,suburban,postgraduate,1,1224979
0,59,144573,105708,363,34,0.5,rural,postgraduate,1,105886
0,38,55932,383580,703,8,0.37,suburban,high_school,0,929624
0,47,81129,453277,442,24,0.34,urban,postgraduate,0,1217799
0,28,44264,507949,447,1,0.16,rural,high_school,0,1498424
1,28,89280,238531,735,0,0.39,suburban,postgraduate,1,455305
0,34,30722,576100,810,11,0.79,urban,high_school,1,886330
1,56,86395,554923,677,35,0.11,rural,graduate,0,1622303
0,37,97470,545401,390,14,0.58,urban,graduate,0,1233329
0,24,45174,61307,651,0,0.46,urban,postgraduate,1,118796
0,46,50555,323094,611,17,0.43,suburban,graduate,1,362781
0,30,118650,558307,327,6,0.45,urban,postgraduate,0,650439
0,28,87236,233095,314,7,0.64,suburban,postgraduate,1,657389
0,48,90542,239592,541,21,0.74,suburban,graduate,0,622638
1,29,82959,299505,722,3,0.63,suburban,postgraduate,0,695251
0,30,45943,225741,418,10,0.43,rural,high_school,1,435235
1,54,86255,202200,785,30,0.4,urban,high_school,1,416710
1,38,62616,93010,842,8,0.48,urban,graduate,1,111121
0,59,89169,460154,400,35,0.59,suburban,postgraduate,1,884515
0,35,79269,61091,484,10,0.72,urban,postgraduate,0,143295
0,26,48534,252458,590,2,0.55,suburban,postgraduate,1,269646
0,23,80010,186217,422,2,0.66,urban,postgraduate,0,326236
0,31,34431,525470,377,1,0.27,suburban,high_school,0,1495167
1,47,66686,115417,375,23,0.32,suburban,postgraduate,1,203780
0,36,45663,461707,505,7,0.44,rural,high_school,1,626482
0,29,74847,321577,408,2,0.11,rural,postgraduate,1,388006
0,48,63416,459451,300,28,0.61,rural,high_school,1,704280
1,45,128681,507239,802,18,0.63,urban,postgraduate,0,916999
1,34,67664,426353,793,13,0.29,urban,high_school,1,710679
0,23,61388,531966,648,2,0.28,suburban,postgraduate,0,1341036
0,44,104651,426712,409,14,0.76,suburban,postgraduate,0,841905
0,48,57384,300069,325,19,0.1,rural,postgraduate,0,593676
0,54,68499,475205,645,34,0.7,rural,graduate,0,587531
1,53,100415,198468,373,33,0.07,urban,graduate,0,392527
0,35,55192,152018,351,11,0.19,rural,postgraduate,0,290714
0,57,63474,262484,525,36,0.7,rural,high_school,0,486231
0,40,63580,231873,518,20,0.15,suburban,high_school,0,387461
0,29,55595,305479,468,2,0.08,urban,graduate,0,871027
1,59,112529,57574,382,39,0.12,rural,graduate,0,78233
1,57,125418,266174,787,35,0.27,urban,graduate,1,342346
1,31,61868,142296,811,2,0.68,urban,postgraduate,0,320789
0,42,61568,150331,420,14,0.74,urban,graduate,0,336417
0,49,59684,547457,415,27,0.18,suburban,postgraduate,0,1092192
0,22,25709,525159,557,0,0.64,suburban,high_school,1,570656
0,21,58106,391806,755,0,0.65,rural,graduate,0,720191
0,40,37835,259668,542,14,0.23,suburban,high_school,0,454695
1,47,63719,193030,696,22,0.21,urban,high_school,0,369745
0,42,45141,193132,361,18,0.42,suburban,graduate,0,236049
0,34,95949,290860,474,5,0.74,urban,graduate,0,341163
1,51,47499,309870,738,28,0.51,suburban,high_school,1,512708
0,29,96251,578709,341,2,0.47,suburban,postgraduate,0,617622
1,50,97778,63026,385,22,0.38,suburban,postgraduate,0,150400
0,35,75424,531592,612,13,0.65,rural,postgraduate,0,1443721
0,21,57329,438414,715,0,0.61,rural,graduate,1,988019
1,44,64459,267208,736,20,0.11,urban,postgraduate,1,688163
1,41,141469,166356,672,21,0.42,urban,postgraduate,0,293769
1,55,149054,401199,509,33,0.14,urban,postgraduate,0,592677
1,50,144154,330345,628,25,0.39,urban,postgraduate,0,663046
1,48,86000,523933,845,24,0.69,suburban,graduate,0,1174606
0,24,22987,130685,483,0,0.27,rural,high_school,1,159269
0,33,68612,413541,435,6,0.64,suburban,postgraduate,0,761022
0,21,25623,402192,537,0,0.32,rural,graduate,0,733350
0,57,90005,230079,435,33,0.23,suburban,postgraduate,1,593266
1,43,58941,218600,766,21,0.28,rural,graduate,0,529804
0,29,24334,182617,624,0,0.35,rural,high_school,0,343644
0,33,74764,441029,652,11,0.83,urban,postgraduate,0,836569
1,21,60067,54502,627,0,0.49,rural,graduate,1,160252
0,52,103481,513581,450,23,0.14,suburban,graduate,1,861464
0,55,56726,424754,525,28,0.09,rural,high_school,1,503317
0,32,53569,517096,385,4,0.82,suburban,postgraduate,0,1217309
0,51,80515,437585,451,25,0.06,urban,graduate,0,775499
0,42,87622,515798,389,19,0.38,suburban,graduate,1,1280754
0,47,120892,267877,388,25,0.84,rural,postgraduate,1,430334
0,53,114661,479350,390,33,0.27,urban,graduate,0,1091773
0,56,80673,564416,596,28,0.71,rural,high_school,0,612089
1,57,119670,52565,529,37,0.29,urban,graduate,1,68757
0,27,47376,175152,550,7,0.44,suburban,postgraduate,1,443035
0,24,72031,549164,746,0,0.7,urban,postgraduate,1,1619219
1,21,32377,192079,627,0,0.09,urban,graduate,0,329371
1,43,55285,130558,842,13,0.66,rural,graduate,1,264736
0,30,89116,430132,608,6,0.51,suburban,postgraduate,1,512574
1,29,39114,406844,796,3,0.18,urban,high_school,0,1156175
0,32,70016,187606,378,11,0.43,suburban,postgraduate,0,534080
1,39,104877,230572,835,14,0.07,rural,postgraduate,1,557935
0,29,46289,495440,433,8,0.68,suburban,postgraduate,0,1179957
0,24,21828,588421,410,4,0.43,suburban,high_school,1,1286495
1,39,102426,259740,510,10,0.33,rural,postgraduate,0,355730
0,25,38348,303569,464,0,0.1,urban,high_school,1,610118
1,53,43313,153479,850,33,0.79,suburban,high_school,0,437179
0,50,86241,422058,409,28,0.39,suburban,graduate,0,1250389
1,40,50184,352274,807,15,0.08,rural,high_school,1,744800
0,40,52255,515521,619,10,0.38,suburban,graduate,0,748405
1,24,27187,160280,803,0,0.47,rural,graduate,1,287340
0,25,33619,117853,404,3,0.21,suburban,high_school,0,203581
0,45,63886,336232,585,16,0.69,suburban,high_school,0,844818
1,45,90925,586256,714,18,0.66,urban,graduate,1,913258
0,51,38482,572332,354,30,0.83,rural,high_school,0,1348537
0,44,74457,595205,398,23,0.68,rural,postgraduate,1,1508930
1,51,103502,501313,318,31,0.15,urban,postgraduate,1,1383749
0,48,70370,367765,333,26,0.18,suburban,graduate,1,1018488
1,44,94563,213903,781,17,0.36,urban,graduate,0,430665
1,51,137604,114407,591,26,0.09,urban,postgraduate,1,120847
0,57,41669,481939,653,32,0.58,suburban,high_school,1,820519
0,35,34904,170031,367,11,0.07,urban,high_school,1,284833
1,47,55293,73316,780,18,0.35,suburban,postgraduate,1,217860
0,44,45032,570860,510,19,0.66,suburban,graduate,0,1144880
0,43,75259,274479,377,15,0.09,suburban,graduate,0,432225
0,56,118345,149335,394,27,0.27,urban,graduate,0,326107
0,47,62403,364477,609,19,0.48,rural,high_school,1,680048
1,32,61355,239373,764,2,0.55,suburban,graduate,1,661098
1,51,80544,504793,845,22,0.63,suburban,high_school,1,1448388
0,23,57701,364861,546,1,0.38,suburban,postgraduate,0,980835
0,60,84504,297600,464,36,0.14,suburban,high_school,1,539171
1,32,41320,88801,746,6,0.27,suburban,high_school,0,124674
1,37,124399,108014,797,17,0.12,urban,postgraduate,0,293708
0,58,112314,197388,392,32,0.51,suburban,graduate,0,290571
1,57,143827,178216,543,28,0.3,suburban,postgraduate,1,453805
1,57,156948,201286,733,34,0.22,urban,postgraduate,1,244286
0,57,68155,494366,415,32,0.25,urban,high_school,1,963869
1,37,55487,86500,615,17,0.58,suburban,high_school,1,232074
1,35,65685,177982,671,5,0.24,suburban,graduate,1,368390
0,48,99600,144634,561,24,0.66,suburban,graduate,0,415482
0,30,58750,133985,334,6,0.8,urban,graduate,1,354577
0,50,116468,323646,402,28,0.33,suburban,postgraduate,1,651392
0,40,71929,514943,488,10,0.16,rural,graduate,0,1329602
0,45,57029,311728,413,23,0.83,suburban,high_school,1,633659
0,58,105041,231905,436,34,0.71,suburban,postgraduate,1,550759
1,38,42260,285391,702,12,0.07,suburban,high_school,0,297225
0,34,35262,470515,472,14,0.53,rural,high_school,1,1052075
0,29,55486,506297,420,9,0.79,rural,high_school,1,1289396
0,34,104126,568172,572,10,0.4,rural,postgraduate,0,1002338
0,33,88259,239131,493,7,0.17,suburban,postgraduate,0,434512
1,59,90936,60821,769,38,0.75,suburban,graduate,0,117856
1,45,98332,318672,733,16,0.5,urban,postgraduate,0,365233
1,50,59222,463869,690,26,0.16,rural,graduate,0,1086624
1,55,44419,540822,804,30,0.3,suburban,high_school,0,683511
0,27,49925,500977,587,2,0.75,rural,graduate,0,784455
1,59,113479,208612,623,32,0.79,suburban,graduate,1,440452
1,32,31051,221499,781,8,0.4,rural,high_school,0,534239
0,51,83138,566935,796,24,0.63,suburban,high_school,1,694485
0,33,68617,272713,579,4,0.83,rural,graduate,0,590994
1,53,139380,148886,552,26,0.07,suburban,postgraduate,0,413119
0,45,48955,553164,383,18,0.81,suburban,graduate,0,1055498
1,58,153730,185602,763,33,0.09,suburban,postgraduate,0,264062
1,23,99254,468233,690,2,0.24,urban,postgraduate,0,707185
1,45,38078,211621,712,21,0.44,rural,high_school,0,262664
1,39,94166,259580,676,11,0.76,suburban,postgraduate,0,513772
1,50,91580,245408,677,21,0.39,rural,graduate,1,458474
0,49,134629,138049,458,22,0.4,urban,postgraduate,0,218311
0,50,86935,598501,607,27,0.5,rural,graduate,0,1110496
0,52,38773,317240,559,27,0.66,suburban,high_school,1,688771
0,21,41580,137336,702,1,0.61,rural,high_school,1,251668
0,48,133450,244078,491,25,0.84,suburban,postgraduate,1,282261
0,36,80486,172346,305,10,0.57,suburban,postgraduate,0,176931
1,58,120731,464184,669,28,0.12,suburban,postgraduate,1,1211186
0,28,49905,269393,492,8,0.17,rural,high_school,0,528612
1,54,75237,492372,451,27,0.18,suburban,high_school,0,513855
0,29,66520,304415,760,0,0.51,suburban,postgraduate,1,426995
0,20,42276,561177,597,0,0.46,suburban,high_school,1,1009759
1,59,131420,492503,840,39,0.49,rural,postgraduate,1,1060263
1,50,95374,507420,655,23,0.28,urban,high_school,1,528535
0,32,42693,405627,524,3,0.73,suburban,graduate,1,1153388
1,38,104175,219896,668,11,0.28,suburban,postgraduate,1,493377
0,25,44979,566094,460,0,0.38,rural,postgraduate,1,680335
0,33,64954,216309,567,8,0.74,rural,postgraduate,0,291893
0,52,55895,284981,532,31,0.84,suburban,high_school,0,562190
0,55,127597,509094,406,35,0.82,urban,graduate,0,1322612
0,27,28010,173794,407,5,0.78,urban,high_school,0,476497
1,48,150706,431405,457,18,0.16,urban,postgraduate,1,720107
1,32,43321,350687,785,7,0.12,rural,graduate,1,704896
1,43,107316,289266,842,17,0.39,rural,postgraduate,0,369100
1,46,67226,122961,310,18,0.3,rural,graduate,1,143809
0,23,74522,110617,454,0,0.83,urban,graduate,0,326924
0,53,104259,410875,611,28,0.27,suburban,graduate,1,417368
1,45,92442,474154,752,20,0.75,urban,graduate,0,1209472
0,25,43840,347719,429,0,0.46,suburban,high_school,1,496358
0,60,88281,368706,564,37,0.84,rural,high_school,0,904442
1,27,51877,179827,819,2,0.57,suburban,postgraduate,0,196994
1,20,53391,295196,846,0,0.28,rural,graduate,1,502032
1,56,114660,393772,553,35,0.2,urban,postgraduate,0,800500
0,29,43753,186381,363,3,0.41,suburban,postgraduate,1,363910
1,43,111163,573058,704,19,0.85,urban,postgraduate,1,1302516
1,46,44407,588113,768,24,0.14,urban,high_school,0,1603515
0,33,68450,478468,678,12,0.35,rural,graduate,1,584052
1,27,41534,199809,797,7,0.52,suburban,graduate,1,256610
1,23,33206,178270,800,3,0.1,rural,graduate,1,373488
1,39,102354,189260,786,10,0.45,suburban,postgraduate,1,477673
0,49,97214,479526,633,28,0.77,rural,graduate,1,850904
0,48,74041,373850,469,28,0.15,urban,postgraduate,1,793342
0,55,77005,597098,354,26,0.43,urban,high_school,0,823273
0,54,76130,515808,551,25,0.48,suburban,high_school,0,603132
0,40,84059,508245,323,15,0.07,suburban,graduate,0,691729
0,25,31556,317968,447,3,0.17,urban,high_school,0,806560
1,46,101535,78491,633,24,0.29,rural,postgraduate,0,190466
0,40,39512,297978,545,11,0.65,rural,graduate,1,591772
0,44,44502,557690,716,23,0.56,rural,high_school,1,589931
0,55,129054,476504,428,31,0.73,rural,postgraduate,0,901528
0,52,61490,494336,472,29,0.49,suburban,high_school,0,1444797
1,59,52895,313076,793,35,0.35,rural,graduate,0,838722
0,42,134500,219257,588,22,0.5,urban,postgraduate,0,543399
0,27,28905,409279,816,2,0.83,suburban,high_school,1,929202
1,48,123683,532134,649,25,0.31,urban,graduate,0,1552759
0,20,74375,562729,477,0,0.48,rural,postgraduate,1,1420851
0,24,69813,444659,426,0,0.34,urban,postgraduate,0,1180540
1,20,44721,282281,755,0,0.66,suburban,high_school,1,701832
0,42,67809,567795,526,19,0.08,urban,high_school,0,1666247
1,58,91230,340819,705,37,0.45,rural,high_school,0,728740
0,55,66631,322235,366,33,0.73,rural,high_school,0,923888
0,37,64757,525976,558,7,0.39,urban,high_school,0,528032
0,23,36760,569647,830,0,0.66,suburban,graduate,1,981469
0,37,35057,135782,499,12,0.7,suburban,graduate,1,374785
0,34,102250,395217,501,12,0.55,rural,postgraduate,1,640888
0,21,44461,407356,784,0,0.71,suburban,postgraduate,1,1085618
0,53,79736,518143,397,23,0.12,urban,high_school,0,1118084
1,40,52398,366115,752,20,0.4,rural,postgraduate,0,813316
1,26,47250,150485,690,0,0.38,urban,postgraduate,0,336274
0,59,63306,156197,738,30,0.8,suburban,high_school,1,262291
0,21,38358,120825,405,1,0.72,urban,graduate,1,264096
1,52,76027,304963,755,30,0.09,suburban,graduate,1,388933
1,28,85402,202698,666,4,0.3,urban,graduate,1,262457
0,20,42879,410517,355,0,0.21,rural,postgraduate,0,570952
0,32,48763,397231,778,3,0.5,rural,high_school,1,1074119
0,41,66370,280063,343,14,0.56,suburban,high_school,0,795352
0,34,56652,265289,639,8,0.71,rural,graduate,0,477686
0,42,41869,427392,499,12,0.07,rural,high_school,0,464921
0,32,73725,307912,478,7,0.07,rural,graduate,0,417862
0,21,64298,270449,413,0,0.24,suburban,postgraduate,0,435462
1,43,149087,174249,744,22,0.79,urban,postgraduate,0,224583
1,44,97252,248287,550,24,0.29,suburban,postgraduate,1,672577
0,29,57929,582959,586,7,0.76,rural,graduate,0,1712015
1,50,98899,572807,821,25,0.19,rural,postgraduate,0,1167257
1,43,147150,470422,785,19,0.68,urban,postgraduate,1,1070779
1,32,42051,214845,735,6,0.35,suburban,graduate,0,616819
1,55,51067,291358,831,30,0.42,rural,high_school,0,631642
0,49,93292,450944,624,25,0.4,suburban,graduate,1,473237
1,36,105087,587700,601,8,0.11,suburban,postgraduate,0,1230234
0,27,39946,395234,641,4,0.65,rural,high_school,1,592869
1,37,67747,364021,567,17,0.33,urban,high_school,0,569216
0,57,122458,288633,452,31,0.65,suburban,postgraduate,0,419629
1,50,87975,378282,648,29,0.39,urban,high_school,1,1018185
0,48,50333,60151,431,24,0.58,suburban,graduate,0,120277
1,42,62115,364192,713,14,0.07,suburban,graduate,0,601703
0,29,38922,455205,700,8,0.14,suburban,graduate,1,626670
0,56,58637,562348,481,36,0.21,rural,graduate,1,592533
1,33,53254,436559,765,13,0.19,urban,high_school,1,889298
1,46,48230,122103,728,19,0.77,rural,graduate,0,217097
1,39,68668,262832,617,10,0.6,rural,graduate,1,526965
0,37,44651,308830,708,8,0.78,rural,high_school,0,633630
1,56,70663,361897,767,31,0.71,suburban,high_school,0,644965
1,31,72951,453350,742,4,0.2,rural,graduate,0,1279202
1,22,45454,119986,850,0,0.63,suburban,high_school,0,287497
0,33,45797,160335,677,12,0.67,urban,graduate,1,322079
1,33,43920,410351,772,7,0.73,suburban,postgraduate,0,1022559
0,45,35863,536796,439,20,0.1,suburban,high_school,0,1057229
0,48,72485,155397,474,28,0.15,suburban,high_school,1,210481
1,45,78778,512063,579,23,0.22,urban,high_school,0,878789
0,33,85920,373301,405,7,0.53,urban,graduate,0,704782
0,23,40692,145825,544,0,0.07,rural,graduate,0,150502
0,24,30824,485872,471,4,0.7,urban,high_school,0,983890
1,40,75400,176672,704,14,0.13,urban,postgraduate,0,258792
0,40,47606,341983,367,10,0.35,rural,high_school,1,786523
1,24,44145,229787,811,3,0.13,suburban,high_school,1,345572
1,44,64670,555550,625,14,0.06,suburban,postgraduate,0,630564
0,57,111224,63937,538,29,0.54,urban,graduate,1,93681
1,47,38071,261824,810,23,0.21,rural,high_school,0,341245
0,22,54361,382963,437,0,0.66,urban,high_school,1,875914
0,38,48930,106700,548,15,0.58,urban,high_school,0,300175
1,35,121530,242461,833,10,0.05,urban,postgraduate,0,456971
0,32,28947,264300,477,3,0.11,rural,high_school,0,389213
1,49,65763,311063,734,27,0.51,urban,graduate,0,499629
0,50,51697,493230,782,23,0.64,suburban,high_school,1,991680
0,29,48898,210221,385,5,0.19,suburban,graduate,0,442663
1,38,53112,212240,780,15,0.05,rural,graduate,1,601119
1,52,92765,441270,725,26,0.3,suburban,postgraduate,1,780198
0,22,29188,415511,746,0,0.44,urban,high_school,1,839006
1,43,95414,304125,734,20,0.79,urban,postgraduate,0,594701
0,21,61892,309433,450,0,0.81,suburban,postgraduate,0,682082
1,30,46018,134251,693,4,0.2,rural,high_school,0,273479
1,36,131429,372939,691,7,0.65,urban,postgraduate,1,920363
0,25,29474,373066,514,0,0.18,rural,high_school,1,377856
1,46,90825,234970,741,24,0.61,urban,postgraduate,1,411033
1,32,92067,272899,761,3,0.1,urban,graduate,0,374219
1,36,97140,224195,411,6,0.12,urban,graduate,1,259980
0,27,29818,558763,540,0,0.13,suburban,graduate,0,1310639
0,20,41630,595337,307,0,0.66,rural,postgraduate,0,1770409
1,51,85873,409742,679,21,0.7,urban,graduate,1,1228771
0,44,118261,529114,402,24,0.37,suburban,postgraduate,0,1450345
0,28,38216,523870,554,3,0.58,urban,high_school,0,1171741
0,32,47518,515888,346,7,0.44,rural,high_school,1,756868
1,59,89889,155335,787,29,0.29,suburban,high_school,1,383453
0,53,102276,539478,389,29,0.41,rural,postgraduate,0,720799
0,27,37610,506018,391,6,0.07,rural,graduate,0,1511335
1,44,65145,179077,787,14,0.79,urban,graduate,0,417420
1,60,140942,117808,640,37,0.35,rural,postgraduate,1,269541
0,44,68374,141939,418,20,0.32,rural,postgraduate,1,173558
1,57,67699,51760,620,31,0.52,urban,high_school,0,83933
1,47,118204,282932,429,19,0.06,urban,graduate,1,343245
1,49,95367,527924,811,19,0.28,suburban,graduate,0,683582
0,22,58309,551515,426,0,0.22,suburban,postgraduate,1,1247611
1,38,114460,270843,641,16,0.8,rural,postgraduate,1,730230
0,31,76883,461341,463,11,0.59,suburban,graduate,1,772663
0,42,67922,254568,589,18,0.49,rural,graduate,1,611527
0,57,72063,555876,440,30,0.17,suburban,high_school,1,879486
1,33,100174,156900,670,4,0.84,urban,postgraduate,0,369756
1,47,61381,105021,785,25,0.46,rural,postgraduate,0,129668
1,41,94609,85644,713,18,0.37,rural,postgraduate,1,105993
0,31,121142,450661,391,4,0.57,urban,postgraduate,1,698719
1,43,33314,584510,800,13,0.52,rural,high_school,0,847463
1,26,63037,181319,744,2,0.1,suburban,postgraduate,0,217380
0,54,43145,562295,849,26,0.72,urban,high_school,1,634191
0,27,50354,518957,484,7,0.15,rural,high_school,0,1349820
0,28,56847,138720,562,8,0.45,urban,postgraduate,0,410591
1,47,77843,516532,831,23,0.44,rural,postgraduate,0,661011
1,40,103971,96908,514,19,0.2,urban,postgraduate,1,142861
0,28,70433,492514,431,0,0.25,urban,postgraduate,0,565760
1,44,86232,496004,560,14,0.16,suburban,postgraduate,0,1428689
1,37,85063,222011,823,8,0.17,urban,postgraduate,0,408361
0,47,67511,165333,576,26,0.38,urban,graduate,0,391501
0,41,52587,283020,400,15,0.13,rural,graduate,0,497341
0,27,58818,415848,801,6,0.74,urban,high_school,1,998414
1,23,25471,472210,844,0,0.15,suburban,high_school,1,922567
0,20,45136,330357,687,0,0.63,urban,postgraduate,0,365285
1,35,88773,541431,749,10,0.27,urban,postgraduate,1,1085275
0,47,104806,476261,389,23,0.73,suburban,postgraduate,0,1210253
0,35,33626,566791,592,7,0.06,urban,high_school,0,1483118
1,47,93714,475167,845,26,0.2,suburban,postgraduate,0,488376
1,47,133664,94413,840,17,0.82,rural,postgraduate,1,209100
0,53,53401,420453,436,25,0.39,rural,high_school,0,1221402
0,27,77975,363710,420,3,0.26,urban,graduate,0,715144
0,20,75400,535550,827,0,0.73,rural,postgraduate,1,1491500
1,49,49071,471598,658,27,0.13,suburban,graduate,1,805991
1,51,71170,179858,457,25,0.06,urban,high_school,0,508317
0,50,66355,332572,486,22,0.4,suburban,graduate,1,404869
0,48,67945,258105,305,23,0.28,suburban,high_school,0,315231
1,41,44688,328711,790,11,0.44,urban,high_school,0,406807
1,51,121039,457737,709,23,0.82,suburban,postgraduate,0,578046
1,42,80589,58418,650,16,0.28,urban,postgraduate,0,109163
1,51,64496,311584,823,29,0.14,rural,high_school,1,486780
0,47,82336,239989,405,19,0.73,urban,high_school,1,330545
1,60,75871,337164,710,40,0.79,rural,postgraduate,0,1005017
0,25,37536,402508,536,2,0.1,suburban,high_school,1,745505
1,47,62509,418075,672,23,0.25,suburban,postgraduate,0,1013067
0,20,26560,155656,586,0,0.25,rural,high_school,1,289802
0,51,50805,186637,313,21,0.64,suburban,graduate,1,310269
1,53,115654,452704,515,24,0.14,rural,postgraduate,1,531683
0,60,120798,517423,495,37,0.11,rural,postgraduate,0,1475173
0,50,39327,314792,728,22,0.66,rural,high_school,0,876120
1,55,89499,120997,420,29,0.47,suburban,graduate,1,237836
0,30,117011,113746,596,10,0.61,urban,postgraduate,1,294463
1,45,65900,459203,821,19,0.27,rural,graduate,0,827345
1,33,85291,368148,837,9,0.29,urban,postgraduate,0,995821
1,37,60772,356019,846,14,0.17,rural,postgraduate,0,383853
0,37,48218,414340,301,7,0.83,rural,high_school,0,938631
1,40,40622,110045,601,15,0.06,urban,high_school,1,247811
0,37,48330,319845,408,11,0.56,rural,high_school,1,876391
